address,symbol,type
0x0049e448,__fpmath,function
0x0049e460,__cfltcvt_init,function
0x0049e498,___setfflag,function
0x0049e4a8,_srand,function
0x0049e4b2,_rand,function
0x0049e4d0,_free,function
0x0049e4ff,_malloc,function
0x0049e573,_sprintf,function
0x0049e5c5,_printf,function
0x0049e600,__chkstk,function
0x0049e62f,_floor,function
0x0049e6fe,_ceil,function
0x0049e7d0,__CIpow,function
0x0049e7e9,__CIlog,function
0x0049e9ed,__findfirst,function
0x0049eab7,__findnext,function
0x0049eb7c,__findclose,function
0x0049ebff,__chdir,function
0x0049ec85,__splitpath,function
0x0049edcc,__getcwd,function
0x0049eee7,_sscanf,function
0x0049ef1b,__tolower,function
0x0049ef23,_tolower,function
0x0049efee,_fclose,function
0x0049f044,_fread,function
0x0049f12c,_ftell,function
0x0049f284,_fseek,function
0x0049f330,_fopen,function
0x0049f343,__toupper,function
0x0049f34b,_toupper,function
0x0049f417,__close,function
0x0049f4ca,__read,function
0x0049f6c0,__open,function
0x0049f990,_asctime,function
0x0049fa66,_localtime,function
0x0049fbc6,_time,function
0x0049fca2,_realloc,function
0x0049fdc2,__msize,function
0x0049fdeb,_vsprintf,function
0x004a0010,_strrchr,function
0x004a0050,_strchr,function
0x004a0110,_strncpy,function
0x004a020e,_calloc,function
0x004a02b8,_exit,function
0x004a02c9,__exit,function
0x004a02da,__cexit,function
0x004a02e9,__c_exit,function
0x004a03b0,_strcspn,function
0x004a03f0,_strspn,function
0x004a04b9,_atoi,function
0x004a0580,_strstr,function
0x004a0600,__strupr,function
0x004a069e,_fwrite,function
0x004a07a8,__rmdir,function
0x004a07d2,__unlink,function
0x004a07dd,__mkdir,function
0x004a0809,_wcscat,function
0x004a0833,_wcscpy,function
0x004a0858,__isctype,function
0x004a08cd,_WinMainCRTStartup,function
0x004a0a0c,__setdefaultprecision,function
0x004a0a5c,__ms_p5_mp_test_fdiv,function
0x004a33c1,__fFEXP,function
0x004a3428,__rtinfpopse,function
0x004a342a,__rtinfnpopse,function
0x004a343a,__fFLN,function
0x004a34ef,__rtinfpop,function
0x004a34f1,__rtinfnpop,function
0x004a3501,_rtforexpinf,function
0x004a350e,__ffexpm1,function
0x004a35c0,__trandisp1,function
0x004a3627,__trandisp2,function
0x004a36b3,__rttospopde,function
0x004a36b8,__rttospop,function
0x004a36ba,__rtnospop,function
0x004a36bc,__rttosnpop,function
0x004a36bd,__rtnospopde,function
0x004a36c4,__rtzeropop,function
0x004a36c6,__rtzeronpop,function
0x004a36cb,__rtonepop,function
0x004a36cd,__rtonenpop,function
0x004a36d2,__tosnan1,function
0x004a36fd,__nosnan2,function
0x004a36ff,__tosnan2,function
0x004a3727,__nan2,function
0x004a3766,__rtindfpop,function
0x004a3768,__rtindfnpop,function
0x004a3779,__rttosnpopde,function
0x004a3783,__rtchsifneg,function
0x004a56c3,__lseek,function
0x004a63e4,__write,function
0x004a79f5,__fptrap,function
0x004aab90,__stricmp,function
0x004aac20,__memicmp,function
0x004aacbd,__tell,function
0x004aacce,__filelength,function
